Plant age (d);all_roots_uptake_rate_control;patch_uptake_rate_control;patch_uptake_rate_patch
168;3.93518518518519E-08;4.47916666666667E-08;3.93518518518519E-08
336;2.8587962962963E-08;3.14814814814815E-08;4.12037037037037E-08
552;2.36111111111111E-08;1.96759259259259E-08;4.05092592592593E-08
696;2.36111111111111E-08;3.63425925925926E-08;3.21759259259259E-08
