t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
83;0;7.51084441176471E-08;8.01642792
84;0;7.60133651311127E-08;8.01611168
85;0;7.69182861445783E-08;8.015798
86;0;7.78232071580439E-08;8.01548688
87;0;7.87281281715096E-08;8.01517832
88;0;7.96330491849752E-08;8.01487232
89;0;8.05379701984408E-08;8.01456888
90;0;8.14428912119065E-08;8.014268
91;0;8.23478122253721E-08;8.01396968
92;0;8.32527332388377E-08;8.01367392
93;0;8.41576542523033E-08;8.01338072
94;0;8.5062575265769E-08;8.01309008
95;0;8.59674962792346E-08;8.012802
96;0;8.68724172927002E-08;8.01251648
97;0;8.77773383061658E-08;8.01223352
98;0;8.86822593196315E-08;8.01195312
99;0;8.95871803330971E-08;8.01167528
100;0;9.04921013465627E-08;8.0114
101;0;9.13970223600283E-08;8.01112728
102;0;9.2301943373494E-08;8.01085712
103;0;9.32068643869596E-08;8.01058952
104;0;9.41117854004252E-08;8.01032448
105;0;9.50167064138909E-08;8.010062
106;0;9.59216274273565E-08;8.00980208
107;0;9.68265484408221E-08;8.00954472
108;0;9.77314694542877E-08;8.00928992
109;0;9.86363904677534E-08;8.00903768
110;0;9.9541311481219E-08;8.008788
111;0;1.00446232494685E-07;8.00854088
112;0;1.0135115350815E-07;8.00829632
113;0;1.02256074521616E-07;8.00805432
114;0;1.03160995535082E-07;8.00781488
115;0;1.04065916548547E-07;8.007578
116;0;1.04970837562013E-07;8.00734368
117;0;1.05875758575478E-07;8.00711192
118;0;1.06780679588944E-07;8.00688272
119;0;1.0768560060241E-07;8.00665608
120;0;1.08590521615875E-07;8.006432
121;0;1.09495442629341E-07;8.00621048
122;0;1.10400363642807E-07;8.00599152
123;0;1.11305284656272E-07;8.00577512
124;0;1.12210205669738E-07;8.00556128
125;0;1.13115126683203E-07;8.00535
126;0;1.14020047696669E-07;8.00514128
127;0;1.14924968710135E-07;8.00493512
128;0;0.0000001158298897236;8.00473152
129;0;1.16734810737066E-07;8.00453048
130;0;1.17639731750532E-07;8.004332
131;0;1.18544652763997E-07;8.00413608
132;0;1.19449573777463E-07;8.00394272
133;0;1.20354494790928E-07;8.00375192
134;0;1.21259415804394E-07;8.00356368
135;0;1.2216433681786E-07;8.003378
136;0;1.23069257831325E-07;8.00319488
137;0;1.23974178844791E-07;8.00301432
138;0;1.24879099858257E-07;8.00283632
139;0;1.25784020871722E-07;8.00266088
140;0;1.26688941885188E-07;8.002488
141;0;1.27593862898653E-07;8.00231768
142;0;1.28498783912119E-07;8.00214992
143;0;1.29403704925585E-07;8.00198472
144;0;1.3030862593905E-07;8.00182208
145;0;1.31213546952516E-07;8.001662
146;0;1.32118467965982E-07;8.00150448
147;0;1.33023388979447E-07;8.00134952
148;0;1.33928309992913E-07;8.00119712
149;0;1.34833231006378E-07;8.00104728
150;0;1.35738152019844E-07;8.0009
151;0;1.3664307303331E-07;8.00075528
152;0;1.37547994046775E-07;8.00061312
153;0;1.38452915060241E-07;8.00047352
154;0;1.39357836073707E-07;8.00033648
155;0;1.40262757087172E-07;8.000202
156;0;1.41167678100638E-07;8.00007008
157;0;1.42072599114103E-07;7.99994072
158;0;1.42977520127569E-07;7.99981392
159;0;1.43882441141035E-07;7.99968968
160;0;0.0000001447873621545;7.999568
161;0;1.45692283167966E-07;7.99944888
162;0;1.46597204181432E-07;7.99933232
163;0;1.47502125194897E-07;7.99921832
164;0;1.48407046208363E-07;7.99910688
165;0;1.49311967221828E-07;7.998998
166;0;1.50216888235294E-07;7.99889168
167;0;1.5112180924876E-07;7.99878792
168;0;1.52026730262225E-07;7.99868672
169;0;1.52931651275691E-07;7.99858808
170;0;1.53836572289157E-07;7.998492
171;0;1.54741493302622E-07;7.99839848
172;0;1.55646414316088E-07;7.99830752
173;0;1.56551335329554E-07;7.99821912
174;0;1.57456256343019E-07;7.99813328
175;0;1.58361177356485E-07;7.99805
176;0;1.5926609836995E-07;7.99796928
177;0;1.60171019383416E-07;7.99789112
178;0;1.61075940396882E-07;7.99781552
179;0;1.61980861410347E-07;7.99774248
180;0;1.62885782423813E-07;7.997672
181;0;1.63790703437279E-07;7.99760408
182;0;1.64695624450744E-07;7.99753872
183;0;1.6560054546421E-07;7.99747592
184;0;1.66505466477675E-07;7.99741568
185;0;1.67410387491141E-07;7.997358
186;0;1.68315308504607E-07;7.99730288
187;0;1.69220229518072E-07;7.99725032
188;0;1.70125150531538E-07;7.99720032
189;0;1.71030071545004E-07;7.99715288
190;0;1.71934992558469E-07;7.997108
191;0;1.72839913571935E-07;7.99706568
192;0;0.0000001737448345854;7.99702592
193;0;1.74649755598866E-07;7.99698872
194;0;1.75554676612332E-07;7.99695408
195;0;1.76459597625797E-07;7.996922
196;0;1.77364518639263E-07;7.99689248
197;0;1.78269439652729E-07;7.99686552
198;0;1.79174360666194E-07;7.99684112
199;0;1.8007928167966E-07;7.99681928
200;0;1.80984202693125E-07;7.9968
201;0;1.81889123706591E-07;7.99678328
202;0;1.82794044720057E-07;7.99676912
203;0;1.83698965733522E-07;7.99675752
204;0;1.84603886746988E-07;7.99674848
205;0;1.85508807760454E-07;7.996742
206;0;1.86413728773919E-07;7.99673808
207;0;1.87318649787385E-07;7.99673672
208;0;1.8822357080085E-07;7.99673792
209;0;1.89128491814316E-07;7.99674168
210;0;1.90033412827782E-07;7.996748
211;0;1.90938333841247E-07;7.99675688
212;0;1.91843254854713E-07;7.99676832
213;0;1.92748175868179E-07;7.99678232
214;0;1.93653096881644E-07;7.99679888
215;0;1.9455801789511E-07;7.996818
216;0;1.95462938908575E-07;7.99683968
217;0;1.96367859922041E-07;7.99686392
218;0;1.97272780935507E-07;7.99689072
219;0;1.98177701948972E-07;7.99692008
220;0;1.99082622962438E-07;7.996952
221;0;1.99987543975904E-07;7.99698648
222;0;2.00892464989369E-07;7.99702352
223;0;2.01797386002835E-07;7.99706312
224;0;0.0000002027023070163;7.99710528
225;0;2.03607228029766E-07;7.99715
226;0;2.04512149043232E-07;7.99719728
227;0;2.05417070056697E-07;7.99724712
228;0;2.06321991070163E-07;7.99729952
229;0;2.07226912083629E-07;7.99735448
230;0;2.08131833097094E-07;7.997412
231;0;2.0903675411056E-07;7.99747208
232;0;2.09941675124026E-07;7.99753472
233;0;2.10846596137491E-07;7.99759992
234;0;2.11751517150957E-07;7.99766768
235;0;2.12656438164422E-07;7.997738
236;0;2.13561359177888E-07;7.99781088
237;0;2.14466280191354E-07;7.99788632
238;0;2.15371201204819E-07;7.99796432
239;0;2.16276122218285E-07;7.99804488
240;0;2.17181043231751E-07;7.998128
241;0;2.18085964245216E-07;7.99821368
242;0;2.18990885258682E-07;7.99830192
243;0;2.19895806272147E-07;7.99839272
244;0;2.20800727285613E-07;7.99848608
245;0;2.21705648299079E-07;7.998582
246;0;2.22610569312544E-07;7.99868048
247;0;2.2351549032601E-07;7.99878152
248;0;2.24420411339476E-07;7.99888512
249;0;2.25325332352941E-07;7.99899128
250;0;2.26230253366407E-07;7.9991
251;0;2.27135174379872E-07;7.99921128
252;0;2.28040095393338E-07;7.99932512
