t;sucrose_input_rate
135;2.01634267275367E-10
136;1.74927526381106E-10
137;1.38169161934681E-10
138;9.13591739360925E-11
139;2.91464553486697E-12
140;2.91464553486697E-12
141;2.91464553486697E-12
142;2.91464553486697E-12
143;2.91464553486697E-12
144;2.91464553486697E-12
145;2.91464553486697E-12
146;2.91464553486697E-12
147;2.91464553486697E-12
148;2.91464553486697E-12
149;2.91464553486697E-12
150;2.91464553486697E-12
151;5.34297465515512E-11
152;1.07135994074602E-10
153;1.50790618045489E-10
154;1.84393618464212E-10
155;2.07944995330771E-10
156;2.21444748645166E-10
157;2.24892878407397E-10
158;2.18289384617464E-10
159;2.01634267275367E-10
160;1.74927526381106E-10
161;1.38169161934681E-10
162;9.13591739360925E-11
163;2.91464553486697E-12
164;2.91464553486697E-12
165;2.91464553486697E-12
166;2.91464553486697E-12
167;2.91464553486697E-12
168;2.91464553486697E-12
169;2.91464553486697E-12
170;2.91464553486697E-12
171;2.91464553486697E-12
172;2.91464553486697E-12
173;2.91464553486697E-12
174;2.91464553486697E-12
175;5.34297465515512E-11
176;1.07135994074602E-10
177;1.50790618045489E-10
178;1.84393618464212E-10
179;2.07944995330771E-10
180;2.21444748645166E-10
181;2.24892878407397E-10
182;2.18289384617464E-10
183;2.01634267275367E-10
184;1.74927526381106E-10
185;1.38169161934681E-10
186;9.13591739360925E-11
187;2.91464553486697E-12
188;2.91464553486697E-12
189;2.91464553486697E-12
190;2.91464553486697E-12
191;2.91464553486697E-12
192;2.91464553486697E-12
193;2.91464553486697E-12
194;2.91464553486697E-12
195;2.91464553486697E-12
196;2.91464553486697E-12
197;2.91464553486697E-12
198;2.91464553486697E-12
199;5.34297465515512E-11
200;1.07135994074602E-10
201;1.50790618045489E-10
202;1.84393618464212E-10
203;2.07944995330771E-10
204;2.21444748645166E-10
205;2.24892878407397E-10
206;2.18289384617464E-10
207;2.01634267275367E-10
208;1.74927526381106E-10
209;1.38169161934681E-10
210;9.13591739360925E-11
211;2.91464553486697E-12
212;2.91464553486697E-12
213;2.91464553486697E-12
214;2.91464553486697E-12
215;2.91464553486697E-12
216;2.91464553486697E-12
217;2.91464553486697E-12
218;2.91464553486697E-12
219;2.91464553486697E-12
220;2.91464553486697E-12
221;2.91464553486697E-12
222;2.91464553486697E-12
223;5.34297465515512E-11
224;1.07135994074602E-10
225;1.50790618045489E-10
226;1.84393618464212E-10
227;2.07944995330771E-10
228;2.21444748645166E-10
229;2.24892878407397E-10
230;2.18289384617464E-10
231;2.01634267275367E-10
232;1.74927526381106E-10
233;1.38169161934681E-10
234;9.13591739360925E-11
235;2.91464553486697E-12
236;2.91464553486697E-12
237;2.91464553486697E-12
238;2.91464553486697E-12
239;2.91464553486697E-12
240;2.91464553486697E-12
241;2.91464553486697E-12
242;2.91464553486697E-12
243;2.91464553486697E-12
244;2.91464553486697E-12
245;2.91464553486697E-12
246;2.91464553486697E-12
247;5.34297465515512E-11
248;1.07135994074602E-10
249;1.50790618045489E-10
250;1.84393618464212E-10
251;2.07944995330771E-10
252;2.21444748645166E-10
253;2.24892878407397E-10
254;2.18289384617464E-10
255;2.01634267275367E-10
256;1.74927526381106E-10
257;1.38169161934681E-10
258;9.13591739360925E-11
259;2.91464553486697E-12
260;2.91464553486697E-12
261;2.91464553486697E-12
262;2.91464553486697E-12
263;2.91464553486697E-12
264;2.91464553486697E-12
265;2.91464553486697E-12
266;2.91464553486697E-12
267;2.91464553486697E-12
268;2.91464553486697E-12
269;2.91464553486697E-12
270;2.91464553486697E-12
271;5.34297465515512E-11
272;1.07135994074602E-10
273;1.50790618045489E-10
274;1.84393618464212E-10
275;2.07944995330771E-10
276;2.21444748645166E-10
277;2.24892878407397E-10
278;2.18289384617464E-10
279;2.01634267275367E-10
280;1.74927526381106E-10
281;1.38169161934681E-10
282;9.13591739360925E-11
283;2.91464553486697E-12
284;2.91464553486697E-12
285;2.91464553486697E-12
286;2.91464553486697E-12
287;2.91464553486697E-12
288;2.91464553486697E-12
289;2.91464553486697E-12
290;2.91464553486697E-12
291;2.91464553486697E-12
292;2.91464553486697E-12
293;2.91464553486697E-12
294;2.91464553486697E-12
295;5.34297465515512E-11
296;1.07135994074602E-10
297;1.50790618045489E-10
298;1.84393618464212E-10
299;2.07944995330771E-10
300;2.21444748645166E-10
301;2.24892878407397E-10
302;2.18289384617464E-10
303;2.01634267275367E-10
304;1.74927526381106E-10
305;1.38169161934681E-10
306;9.13591739360925E-11
307;2.91464553486697E-12
308;2.91464553486697E-12
309;2.91464553486697E-12
310;2.91464553486697E-12
311;2.91464553486697E-12
312;2.91464553486697E-12
313;2.91464553486697E-12
314;2.91464553486697E-12
315;2.91464553486697E-12
316;2.91464553486697E-12
317;2.91464553486697E-12
318;2.91464553486697E-12
319;5.34297465515512E-11
320;1.07135994074602E-10
321;1.50790618045489E-10
322;1.84393618464212E-10
323;2.0960964731088E-10
324;2.29092417384315E-10
325;2.38625916859561E-10
326;2.37410136126273E-10
327;2.24645106263963E-10
328;1.99530903947283E-10
329;1.61267656352731E-10
330;1.09055546066794E-10
331;3.55652570787158E-12
332;3.63383304056113E-12
333;3.7111374254046E-12
334;3.78843871998129E-12
335;3.86573678184328E-12
336;3.94303146851545E-12
337;4.02032263749556E-12
338;4.0976101462543E-12
339;4.17489385223539E-12
340;4.25217361285566E-12
341;4.32944928550507E-12
342;4.40672072754684E-12
343;8.21981021813777E-11
344;1.67661585098765E-10
345;2.39975501803838E-10
346;2.98340325144403E-10
347;3.41956619749913E-10
348;3.70025046953595E-10
349;3.81746369715934E-10
350;3.76321457549522E-10
351;3.52951291445265E-10
352;3.10836968799941E-10
353;2.49179708345096E-10
354;1.67180855077291E-10
355;5.41079954077802E-12
356;5.48799676263011E-12
357;5.56518761115949E-12
358;5.64237194331093E-12
359;5.7195496160037E-12
360;5.79672048613161E-12
361;5.8738844105631E-12
362;5.95104124614135E-12
363;6.02819084968431E-12
364;6.10533307798479E-12
365;6.18246778781054E-12
366;6.25959483590434E-12
367;1.16161304405484E-10
368;2.3575819049578E-10
369;3.35811377432842E-10
370;4.1552278420229E-10
371;4.74094492586695E-10
372;5.10728752108894E-10
373;5.24627984976569E-10
374;5.14994791028099E-10
375;4.8103195267967E-10
376;4.21942439873638E-10
377;3.36929415028147E-10
378;2.2519623798798E-10
379;7.26148401650938E-12
380;7.33848874454853E-12
381;7.41548365905419E-12
382;7.49246861638037E-12
383;7.56944347285753E-12
384;7.64640808479259E-12
385;7.72336230846907E-12
386;7.80030600014711E-12
387;7.87723901606363E-12
388;7.95416121243238E-12
389;8.03107244544402E-12
390;8.1079725712662E-12
391;1.50040568360789E-10
392;3.03683450362125E-10
393;4.31401817641208E-10
394;5.32399888965117E-10
395;6.05882117208441E-10
396;6.51053194316185E-10
397;6.67118056267857E-10
398;6.53281888042716E-10
399;6.0875012858616E-10
400;5.32728475777277E-10
401;4.2442289139754E-10
402;2.83039606100611E-10
403;9.10659796769826E-12
404;9.18332747780666E-12
405;9.26004372054168E-12
406;9.33674655171523E-12
407;9.41343582711779E-12
408;9.49011140251847E-12
409;9.56677313366512E-12
410;9.64342087628442E-12
411;9.72005448608198E-12
412;9.79667381874247E-12
413;9.87327872992964E-12
414;9.94986907528645E-12
415;1.83799502643859E-10
416;3.71364381523827E-10
417;5.26644083969313E-10
418;6.48845985602027E-10
419;7.3717776773304E-10
420;7.90847422343545E-10
421;8.09063257066653E-10
422;7.91033900170252E-10
423;7.35968305540878E-10
424;6.43075757668633E-10
425;5.11565876633119E-10
426;3.40648623090376E-10
427;1.09441523547111E-11
428;1.10205236095548E-11
429;1.1096878130787E-11
430;1.11732157737315E-11
431;1.12495363936936E-11
432;1.13258398459594E-11
433;1.14021259857961E-11
434;1.14783946684522E-11
435;1.15546457491577E-11
436;1.1630879083124E-11
437;1.1707094525544E-11
438;1.17832919315925E-11
439;2.17401577839615E-10
440;4.38727725153393E-10
441;6.21435051516388E-10
442;7.64734949607262E-10
443;8.67839189620486E-10
444;9.2995992426296E-10
445;9.50309693751541E-10
446;9.28101430811503E-10
447;8.62548465675881E-10
448;7.52864531085713E-10
449;5.98263767291178E-10
450;3.97960727053598E-10
451;1.27721509722671E-11
452;1.28480806524707E-11
453;1.29239901218026E-11
454;1.299987923516E-11
455;1.30757478474235E-11
456;1.31515958134577E-11
457;1.3227422988111E-11
458;1.33032292262157E-11
459;1.33790143825884E-11
460;1.34547783120297E-11
461;1.35305208693248E-11
462;1.36062419092433E-11
463;2.50810140213621E-10
464;5.05699974353523E-10
465;7.1567124794531E-10
466;8.79940233720326E-10
467;9.97723653966834E-10
468;1.06823868554028E-09
469;1.09070296487432E-09
470;1.06433459299267E-09
471;9.88352140521604E-10
472;8.61974652703282E-10
473;6.84421654409793E-10
474;4.54913155157911E-10
475;1.45885912395669E-11
476;1.46639957786182E-11
477;1.47393766200582E-11
478;1.48147336184253E-11
479;1.48900666282445E-11
480;1.49653755040274E-11
481;1.50406601002728E-11
482;1.51159202714662E-11
483;1.51911558720805E-11
484;1.5266366756576E-11
485;1.53415527794001E-11
486;1.54167137949882E-11
487;2.83988427041027E-10
488;5.72207405040228E-10
489;8.09248897156049E-10
