t;cytokinins_root_shoot_xylem;AA_root_shoot_phloem;water_root_shoot_xylem
0;0;0;0.00000000319
1;0.04344563;0;0.00000000319
2;0.0274301;0;0.00000000319
3;0.00875257;0;0.00000000319
4;0.00141422;0;0.00000000319
5;0.00048652;0;0.00000000935
6;0.00032802;0;0.00000000628
7;0.00016699;0;0.00000000319
8;0.00016771;0;0.00000000319
9;0.00017427;0;0.0000000033
10;0.00017861;0;0.00000000337
11;0.00017575;0;0.00000000331
12;0.00037139;0;0.00000000697
13;0.00075629;0.00000000546474;0.00000001414
14;0.00075935;0.00000014743085;0.00000001414
15;0.00079478;0.00000027370207;0.00000001476
16;0.00102565;0.00000038470153;0.00000001898
17;0.00105125;0.00000048224891;0.00000001939
18;0.00130165;0.00000057003093;0.00000002393
19;0.00134292;0.00000064781661;0.00000002461
20;0.00162718;0.00000071836628;0.00000002972
21;0.00165822;0.00000079411779;0.00000003019
22;0.00283061;0.00000091598326;0.00000005137
23;0.00282476;0.00000102249453;0.0000000511
24;0.00227572;0.00000111463521;0.00000004103
25;0.00307694;0.00000122925266;0.0000000553
26;0.00427486;0.00000136564407;0.00000007658
27;0.00259577;0.00000145515842;0.00000004636
28;0.00155931;0.00000149603766;0.00000002776
29;0.00137764;0.00000148567044;0.00000002444
30;0.00139278;0.00000144993208;0.00000002462
31;0.00222336;0.00000140193234;0.00000003917
32;0.00284765;0.00000136569754;0.00000005001
33;0.00331982;0.0000013051453;0.00000005811
34;0.0041388;0.00000126217117;0.00000007223
35;0.00360071;0.00000122284151;0.00000006265
36;0.00253699;0.00000118579182;0.00000004401
37;0.00452601;0.00000115300164;0.00000007829
38;0.00612155;0.00000111502983;0.0000001056
39;0.00426199;0.00000107007059;0.00000007334
40;0.00504234;0.00000105998047;0.00000008654
41;0.00485877;0.00000101672087;0.00000008319
42;0.00309973;0.00000097482637;0.00000005295
43;0.00348272;0.0000009392333;0.00000005935
44;0.00337581;0.00000090765384;0.00000005739
45;0.0178087;0.00000106622802;0.00000030207
46;0.03739037;0.00000143711626;0.00000063381
47;0.03903689;0.00000194455221;0.00000066266
48;0.06653092;0.00000277153391;0.00000113114
49;0.05895658;0.00000360284309;0.00000100669
50;0.04165872;0.00000418262028;0.00000071377
51;0.03196985;0.00000447599947;0.00000054861
52;0.00896258;0.00000429178982;0.00000015387
53;0.00544754;0.00000388113888;0.00000009334
54;0.00425997;0.0000034986099;0.00000007282
55;0.00250533;0.00000314932759;0.00000004272
56;0.00281854;0.00000290778125;0.00000004794
57;0.00308432;0.00000266520327;0.00000005233
58;0.00309395;0.00000244306541;0.00000005236
59;0.00229056;0.00000221689838;0.00000003867
60;0.00173692;0.00000202708776;0.00000002925
61;0.0014933;0.00000187238621;0.00000002508
62;0.00147738;0.00000174098969;0.00000002475
63;0.00126153;0.00000162832983;0.00000002108
64;0.00105458;0.00000153117661;0.00000001758
65;0.00104319;0.00000143690291;0.00000001734
66;0.00105374;0.00000136270503;0.00000001748
67;0.00124198;0.00000128025427;0.00000002055
68;0.00124567;0.00000121749221;0.00000002056
69;0.00229605;0.00000119579916;0.0000000378
70;0.0034629;0.00000120284132;0.00000005689
71;0.00690277;0.00000129513497;0.00000011317
72;0.00954943;0.00000143114662;0.00000015629
73;0.01331016;0.00000160223144;0.00000021752
74;0.01275858;0.00000176411474;0.00000020827
75;0.01315911;0.00000189141191;0.00000021454
76;0.00924992;0.00000193553911;0.00000015063
77;0.00373239;0.00000184577794;0.00000006069
