t;sucrose_input_rate
354;3.27e-11
355;2.73e-11
356;2.38e-11
357;2.14e-11
358;1.98e-11
359;1.88e-11
360;1.8e-11
361;9.8e-11
362;1.64e-10
363;2.06e-10
364;2.31e-10
365;2.46e-10
366;2.55e-10
367;2.6e-10
368;2.64e-10
369;2.66e-10
370;2.67e-10
371;2.67e-10
372;2.68e-10
373;1.62e-10
374;1.08e-10
375;7.45e-11
376;5.38e-11
377;4.1e-11
378;3.27e-11
379;2.73e-11
380;2.38e-11
381;2.14e-11
382;1.98e-11
383;1.88e-11
384;1.8e-11
385;9.8e-11
386;1.64e-10
387;2.06e-10
388;2.31e-10
389;2.46e-10
390;2.55e-10
391;2.6e-10
392;2.64e-10
393;2.66e-10
394;2.67e-10
395;2.67e-10
396;2.68e-10
397;1.62e-10
398;1.08e-10
399;7.45e-11
400;5.38e-11
401;4.1e-11
402;3.27e-11
403;2.73e-11
404;2.38e-11
405;2.14e-11
406;1.98e-11
407;1.88e-11
408;1.8e-11
409;9.8e-11
410;1.64e-10
411;2.06e-10
412;2.31e-10
413;2.46e-10
414;2.55e-10
415;2.6e-10
416;2.64e-10
417;2.66e-10
418;2.67e-10
419;2.67e-10
420;2.68e-10
421;1.62e-10
422;1.08e-10
423;7.45e-11
424;5.38e-11
425;4.1e-11
426;3.27e-11
427;2.73e-11
428;2.38e-11
429;2.14e-11
430;1.98e-11
431;1.88e-11
432;1.8e-11
433;9.8e-11
434;1.64e-10
435;2.06e-10
436;2.31e-10
437;2.46e-10
438;2.55e-10
439;2.6e-10
440;2.64e-10
441;2.66e-10
442;2.67e-10
443;2.67e-10
444;2.68e-10
445;1.62e-10
446;1.08e-10
447;7.45e-11
448;5.38e-11
449;4.1e-11
450;3.27e-11
451;2.73e-11
452;2.38e-11
453;2.14e-11
454;1.98e-11
455;1.88e-11
456;1.8e-11
457;9.8e-11
458;1.64e-10
459;2.06e-10
460;2.31e-10
461;2.46e-10
462;2.55e-10
463;2.6e-10
464;2.64e-10
465;2.66e-10
466;2.67e-10
467;2.67e-10
468;2.68e-10
469;1.62e-10
470;1.08e-10
471;7.45e-11
472;5.38e-11
473;4.1e-11
474;3.27e-11
475;2.73e-11
476;2.38e-11
477;2.14e-11
478;1.98e-11
479;1.88e-11
480;1.8e-11
481;9.8e-11
482;1.64e-10
483;2.06e-10
484;2.31e-10
485;2.46e-10
486;2.55e-10
487;2.6e-10
488;2.64e-10
489;2.66e-10
490;2.67e-10
491;2.67e-10
492;2.68e-10
493;1.62e-10
494;1.08e-10
495;7.45e-11
496;5.38e-11
497;4.1e-11
498;3.27e-11
499;2.73e-11
500;2.38e-11
501;2.14e-11
502;1.98e-11
503;1.88e-11
504;1.8e-11
505;9.8e-11
506;1.64e-10
507;2.06e-10
508;2.31e-10
509;2.46e-10
510;2.55e-10
511;2.6e-10
512;2.64e-10
513;2.66e-10
514;2.67e-10
515;2.67e-10
516;2.68e-10
517;1.62e-10
518;1.08e-10
519;7.45e-11
520;5.38e-11
521;4.1e-11
522;3.27e-11
523;2.73e-11
524;2.38e-11
525;2.14e-11
526;1.98e-11
527;1.88e-11
528;1.8e-11
529;9.8e-11
530;1.64e-10
531;2.06e-10
532;2.31e-10
533;2.46e-10
534;2.55e-10
535;2.6e-10
536;2.64e-10
537;2.66e-10
538;2.67e-10
539;2.67e-10
540;2.68e-10
541;1.62e-10
542;1.08e-10
543;7.45e-11
544;5.38e-11
545;4.1e-11
546;3.27e-11
547;2.73e-11
548;2.38e-11
549;2.14e-11
550;1.98e-11
551;1.88e-11
552;1.8e-11
553;9.8e-11
554;1.64e-10
555;2.06e-10
556;2.31e-10
557;2.46e-10
558;2.55e-10
559;2.6e-10
560;2.64e-10
561;2.66e-10
562;2.67e-10
563;2.67e-10
564;2.68e-10
565;1.62e-10
566;1.08e-10
567;7.45e-11
568;5.38e-11
569;4.1e-11
570;3.27e-11
571;2.73e-11
572;2.38e-11
573;2.14e-11
574;1.98e-11
575;1.88e-11
576;1.8e-11
577;9.8e-11
578;1.64e-10
579;2.06e-10
580;2.31e-10
581;2.46e-10
582;2.55e-10
583;2.6e-10
584;2.64e-10
585;2.66e-10
586;2.67e-10
587;2.67e-10
588;2.68e-10
589;1.62e-10
590;1.08e-10
591;7.45e-11
592;5.38e-11
593;4.1e-11
594;3.27e-11
595;2.73e-11
596;2.38e-11
597;2.14e-11
598;1.98e-11
599;1.88e-11
600;1.8e-11
601;9.8e-11
602;1.64e-10
603;2.06e-10
604;2.31e-10
605;2.46e-10
606;2.55e-10
607;2.6e-10
608;2.64e-10
609;2.66e-10
610;2.67e-10
611;2.67e-10
612;2.68e-10
613;1.62e-10
614;1.08e-10
615;7.45e-11
616;5.38e-11
617;4.1e-11
618;3.27e-11
619;2.73e-11
620;2.38e-11
621;2.14e-11
622;1.98e-11
623;1.88e-11
624;1.8e-11
625;9.8e-11
626;1.64e-10
627;2.06e-10
628;2.31e-10
629;2.46e-10
630;2.55e-10
631;2.6e-10
632;2.64e-10
633;2.66e-10
634;2.67e-10
635;2.67e-10
636;2.68e-10
637;1.62e-10
638;1.08e-10
639;7.45e-11
640;5.38e-11
641;4.1e-11
642;3.27e-11
643;2.73e-11
644;2.38e-11
645;2.14e-11
646;1.98e-11
647;1.88e-11
648;1.8e-11
649;9.8e-11
650;1.64e-10
651;2.06e-10
652;2.31e-10
653;2.46e-10
654;2.55e-10
655;2.6e-10
656;2.64e-10
657;2.66e-10
658;2.67e-10
659;2.67e-10
660;2.68e-10
661;1.62e-10
662;1.08e-10
663;7.45e-11
664;5.38e-11
665;4.1e-11
666;3.27e-11
667;2.73e-11
668;2.38e-11
669;2.14e-11
670;1.98e-11
671;1.88e-11
672;1.8e-11
673;9.8e-11
674;1.64e-10
675;2.06e-10
676;2.31e-10
677;2.46e-10
678;2.55e-10
679;2.6e-10
680;2.64e-10
681;2.66e-10
682;2.67e-10
683;2.67e-10
684;2.68e-10
685;1.62e-10
686;1.08e-10
687;7.45e-11
688;5.38e-11
689;4.1e-11
690;3.27e-11
691;2.73e-11
692;2.38e-11
693;2.14e-11
694;1.98e-11
695;1.88e-11
696;1.8e-11
697;9.8e-11
698;1.64e-10
699;2.06e-10
700;2.31e-10
701;2.46e-10
702;2.55e-10
703;2.6e-10
704;2.64e-10
705;2.66e-10
706;2.67e-10
707;2.67e-10
708;2.68e-10
709;1.62e-10
710;1.08e-10
711;7.45e-11
712;5.38e-11
713;4.1e-11
714;3.27e-11
715;2.73e-11
716;2.38e-11
717;2.14e-11
718;1.98e-11
719;1.88e-11
720;1.8e-11
721;9.8e-11
722;1.64e-10
723;2.06e-10
724;2.31e-10
725;2.46e-10
726;2.55e-10
727;2.6e-10
728;2.64e-10
729;2.66e-10
730;2.67e-10
731;2.67e-10
732;2.68e-10
733;1.62e-10
734;1.08e-10
735;7.45e-11
736;5.38e-11
737;4.1e-11
738;3.27e-11
739;2.73e-11
740;2.38e-11
741;2.14e-11
742;1.98e-11
743;1.88e-11
744;1.8e-11
745;9.8e-11
746;1.64e-10
747;2.06e-10
748;2.31e-10
749;2.46e-10
750;2.55e-10
751;2.6e-10
752;2.64e-10
753;2.66e-10
754;2.67e-10
755;2.67e-10
756;2.68e-10
757;1.62e-10
758;1.08e-10
759;7.45e-11
760;5.38e-11
761;4.1e-11
762;3.27e-11
763;2.73e-11
764;2.38e-11
765;2.14e-11
766;1.98e-11
767;1.88e-11
768;1.8e-11
769;9.8e-11
770;1.64e-10
771;2.06e-10
772;2.31e-10
773;2.46e-10
774;2.55e-10
775;2.6e-10
776;2.64e-10
777;2.66e-10
778;2.67e-10
779;2.67e-10
780;2.68e-10
781;1.62e-10
782;1.08e-10
783;7.45e-11
784;5.38e-11
785;4.1e-11
786;3.27e-11
787;2.73e-11
788;2.38e-11
789;2.14e-11
790;1.98e-11
791;1.88e-11
792;1.8e-11
793;9.8e-11
794;1.64e-10
795;2.06e-10
796;2.31e-10
797;2.46e-10
798;2.55e-10
799;2.6e-10
800;2.64e-10
801;2.66e-10
802;2.67e-10
803;2.67e-10
804;2.68e-10
805;1.62e-10
806;1.08e-10
807;7.45e-11
808;5.38e-11
809;4.1e-11
810;3.27e-11
811;2.73e-11
812;2.38e-11
813;2.14e-11
814;1.98e-11
815;1.88e-11
816;1.8e-11
817;9.8e-11
818;1.64e-10
819;2.06e-10
820;2.31e-10
821;2.46e-10
822;2.55e-10
823;2.6e-10
824;2.64e-10
825;2.66e-10
826;2.67e-10
827;2.67e-10
828;2.68e-10
829;1.62e-10
830;1.08e-10
831;7.45e-11
832;5.38e-11
833;4.1e-11
834;3.27e-11
835;2.73e-11
836;2.38e-11
837;2.14e-11
838;1.98e-11
839;1.88e-11
840;1.8e-11
841;9.8e-11
842;1.64e-10
843;2.06e-10
844;2.31e-10
845;2.46e-10
846;2.55e-10
847;2.6e-10
848;2.64e-10
849;2.66e-10
850;2.67e-10
851;2.67e-10
852;2.68e-10
853;1.62e-10
854;1.08e-10
855;7.45e-11
856;5.38e-11
857;4.1e-11
858;3.27e-11
859;2.73e-11
860;2.38e-11
861;2.14e-11
862;1.98e-11
863;1.88e-11
864;1.8e-11
865;9.8e-11
866;1.64e-10
867;2.06e-10
868;2.31e-10
869;2.46e-10
870;2.55e-10
871;2.6e-10
872;2.64e-10
873;2.66e-10
874;2.67e-10
875;2.67e-10
876;2.68e-10
877;1.62e-10
878;1.08e-10
879;7.45e-11
880;5.38e-11
881;4.1e-11
882;3.27e-11
883;2.73e-11
884;2.38e-11
885;2.14e-11
886;1.98e-11
887;1.88e-11
888;1.8e-11
889;9.8e-11
890;1.64e-10
891;2.06e-10
892;2.31e-10
893;2.46e-10
894;2.55e-10
895;2.6e-10
896;2.64e-10
897;2.66e-10
898;2.67e-10
899;2.67e-10
900;2.68e-10
901;1.62e-10
902;1.08e-10
903;7.45e-11
904;5.38e-11
905;4.1e-11
906;3.27e-11
907;2.73e-11
908;2.38e-11
909;2.14e-11
910;1.98e-11
911;1.88e-11
912;0
912;1.8e-11
913;-4.78518499968225e-10
913;9.8e-11
914;-2.89163673387129e-10
914;1.64e-10
915;-1.7430100189339e-10
915;2.06e-10
916;-9.62286441149633e-11
916;2.31e-10
917;-3.88116843193706e-11
917;2.46e-10
918;6.2051535639338e-12
918;2.55e-10
919;4.72803029424602e-11
919;2.6e-10
920;8.59479747914025e-11
920;2.64e-10
921;1.20865735954777e-10
921;2.66e-10
922;1.51362712453388e-10
922;2.67e-10
923;1.77264683722726e-10
923;2.67e-10
924;1.98742107133459e-10
924;2.68e-10
925;1.54749112050361e-10
925;1.62e-10
926;1.32772191434951e-10
926;1.08e-10
927;1.10223677287073e-10
927;7.45e-11
928;9.11654203305382e-11
928;5.38e-11
929;7.55591410617628e-11
929;4.1e-11
930;6.22239803518348e-11
930;3.27e-11
931;5.16624538150538e-11
931;2.73e-11
932;4.29764779729155e-11
932;2.38e-11
933;3.58522790274114e-11
933;2.14e-11
934;2.99977871128432e-11
934;1.98e-11
935;2.51858050835125e-11
935;1.88e-11
936;2.1213201800307e-11
937;4.94656002378066e-11
938;8.50243359148362e-11
939;1.19632145237151e-10
940;1.49664971815731e-10
941;1.74540732728815e-10
942;1.9457080987487e-10
943;2.103890890145e-10
944;2.22576536697579e-10
945;2.31811325467584e-10
946;2.38729419242361e-10
947;2.43774522351477e-10
948;2.48075719398892e-10
949;1.79917219558517e-10
950;1.44205295250915e-10
951;1.14474032728248e-10
952;9.10716424031423e-11
